name,learning_model,features,clip_counts,negation,remove_stopwords,lemmatise,avg_cv_acc,rmse,min_acc,max_acc
baseline-NB-BoW-clip,MultinomialNB(),bow,TRUE,FALSE,FALSE,FALSE,0.8290,0.021071,0.785,0.855
param-exp-NB-1,MultinomialNB(),bow,TRUE,TRUE,TRUE,TRUE,0.8245,0.020427,0.775,0.850
param-exp-NB-2,MultinomialNB(),bow,TRUE,TRUE,TRUE,FALSE,0.8245,0.020427,0.775,0.850
param-exp-NB-3,MultinomialNB(),bow,TRUE,TRUE,FALSE,TRUE,0.8245,0.020427,0.775,0.850
param-exp-NB-4,MultinomialNB(),bow,TRUE,TRUE,FALSE,FALSE,0.8245,0.020427,0.775,0.850
param-exp-NB-5,MultinomialNB(),bow,TRUE,FALSE,TRUE,TRUE,0.8245,0.020427,0.775,0.850
param-exp-NB-6,MultinomialNB(),bow,TRUE,FALSE,TRUE,FALSE,0.8245,0.020427,0.775,0.850
param-exp-NB-7,MultinomialNB(),bow,TRUE,FALSE,FALSE,TRUE,0.8245,0.020427,0.775,0.850
param-exp-NB-8,MultinomialNB(),bow,TRUE,FALSE,FALSE,FALSE,0.8245,0.020427,0.775,0.850
param-exp-NB-9,MultinomialNB(),bow,FALSE,TRUE,TRUE,TRUE,0.8090,0.034191,0.745,0.850
param-exp-NB-10,MultinomialNB(),bow,FALSE,TRUE,TRUE,FALSE,0.8090,0.034191,0.745,0.850
param-exp-NB-11,MultinomialNB(),bow,FALSE,TRUE,FALSE,TRUE,0.8090,0.034191,0.745,0.850
param-exp-NB-12,MultinomialNB(),bow,FALSE,TRUE,FALSE,FALSE,0.8090,0.034191,0.745,0.850
param-exp-NB-13,MultinomialNB(),bow,FALSE,FALSE,TRUE,TRUE,0.8090,0.034191,0.745,0.850
param-exp-NB-14,MultinomialNB(),bow,FALSE,FALSE,TRUE,FALSE,0.8090,0.034191,0.745,0.850
param-exp-NB-15,MultinomialNB(),bow,FALSE,FALSE,FALSE,TRUE,0.8090,0.034191,0.745,0.850
param-exp-NB-16,MultinomialNB(),bow,FALSE,FALSE,FALSE,FALSE,0.8090,0.034191,0.745,0.850
param-exp-NB-17,MultinomialNB(),bob,TRUE,TRUE,TRUE,TRUE,0.7610,0.017436,0.745,0.805
param-exp-NB-18,MultinomialNB(),bob,TRUE,TRUE,TRUE,FALSE,0.7610,0.017436,0.745,0.805
param-exp-NB-19,MultinomialNB(),bob,TRUE,TRUE,FALSE,TRUE,0.7610,0.017436,0.745,0.805
param-exp-NB-20,MultinomialNB(),bob,TRUE,TRUE,FALSE,FALSE,0.7610,0.017436,0.745,0.805
param-exp-NB-21,MultinomialNB(),bob,TRUE,FALSE,TRUE,TRUE,0.7610,0.017436,0.745,0.805
param-exp-NB-22,MultinomialNB(),bob,TRUE,FALSE,TRUE,FALSE,0.7610,0.017436,0.745,0.805
param-exp-NB-23,MultinomialNB(),bob,TRUE,FALSE,FALSE,TRUE,0.7610,0.017436,0.745,0.805
param-exp-NB-24,MultinomialNB(),bob,TRUE,FALSE,FALSE,FALSE,0.7610,0.017436,0.745,0.805
param-exp-NB-25,MultinomialNB(),bob,FALSE,TRUE,TRUE,TRUE,0.7415,0.024088,0.700,0.775
param-exp-NB-26,MultinomialNB(),bob,FALSE,TRUE,TRUE,FALSE,0.7415,0.024088,0.700,0.775
param-exp-NB-27,MultinomialNB(),bob,FALSE,TRUE,FALSE,TRUE,0.7415,0.024088,0.700,0.775
param-exp-NB-28,MultinomialNB(),bob,FALSE,TRUE,FALSE,FALSE,0.7415,0.024088,0.700,0.775
param-exp-NB-29,MultinomialNB(),bob,FALSE,FALSE,TRUE,TRUE,0.7415,0.024088,0.700,0.775
param-exp-NB-30,MultinomialNB(),bob,FALSE,FALSE,TRUE,FALSE,0.7415,0.024088,0.700,0.775
param-exp-NB-31,MultinomialNB(),bob,FALSE,FALSE,FALSE,TRUE,0.7415,0.024088,0.700,0.775
param-exp-NB-32,MultinomialNB(),bob,FALSE,FALSE,FALSE,FALSE,0.7415,0.024088,0.700,0.775
param-exp-NB-33,MultinomialNB(),bot,TRUE,TRUE,TRUE,TRUE,0.6755,0.037111,0.610,0.725
param-exp-NB-34,MultinomialNB(),bot,TRUE,TRUE,TRUE,FALSE,0.6755,0.037111,0.610,0.725
param-exp-NB-35,MultinomialNB(),bot,TRUE,TRUE,FALSE,TRUE,0.6755,0.037111,0.610,0.725
param-exp-NB-36,MultinomialNB(),bot,TRUE,TRUE,FALSE,FALSE,0.6755,0.037111,0.610,0.725
param-exp-NB-37,MultinomialNB(),bot,TRUE,FALSE,TRUE,TRUE,0.6755,0.037111,0.610,0.725
param-exp-NB-38,MultinomialNB(),bot,TRUE,FALSE,TRUE,FALSE,0.6755,0.037111,0.610,0.725
param-exp-NB-39,MultinomialNB(),bot,TRUE,FALSE,FALSE,TRUE,0.6755,0.037111,0.610,0.725
param-exp-NB-40,MultinomialNB(),bot,TRUE,FALSE,FALSE,FALSE,0.6755,0.037111,0.610,0.725
param-exp-NB-41,MultinomialNB(),bot,FALSE,TRUE,TRUE,TRUE,0.6670,0.035014,0.590,0.710
param-exp-NB-42,MultinomialNB(),bot,FALSE,TRUE,TRUE,FALSE,0.6670,0.035014,0.590,0.710
param-exp-NB-43,MultinomialNB(),bot,FALSE,TRUE,FALSE,TRUE,0.6670,0.035014,0.590,0.710
param-exp-NB-44,MultinomialNB(),bot,FALSE,TRUE,FALSE,FALSE,0.6670,0.035014,0.590,0.710
param-exp-NB-45,MultinomialNB(),bot,FALSE,FALSE,TRUE,TRUE,0.6670,0.035014,0.590,0.710
param-exp-NB-46,MultinomialNB(),bot,FALSE,FALSE,TRUE,FALSE,0.6670,0.035014,0.590,0.710
param-exp-NB-47,MultinomialNB(),bot,FALSE,FALSE,FALSE,TRUE,0.6670,0.035014,0.590,0.710
param-exp-NB-48,MultinomialNB(),bot,FALSE,FALSE,FALSE,FALSE,0.6670,0.035014,0.590,0.710
